address,balance,total_assets_value,transaction_count,total_volume,avg_transaction_size,sent_volume,received_volume
ALGONODEIBJTET5OSEAXIHDSIEG7C2DOFB2WDYLRZTXN3NXVJ3NJD26L4E,136740.775437,0,12,5651.000565,470.91671375000004,0.0,5651.000565
AV2WFVHBYDNCAAJBYARCQ4CJBU7RS2Q3XFHA3NPNJDOXGOFDRVXNRJGXV4,134195.467604,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
APWOCNBIC5D6VRZDFKPXBRYZ72XZDOJ4U7KLB2LGJ2CDXTIMQ45LVJ6KLY,132300.367418,0,6,0.000339,5.65e-05,0,0.000339
AQNHIPCV6DFJ74CKTEDCQIJ4IO6C2FLZJTYCQW3344UDM7ZHHLXXY5KOPE,132015.730894,0,6,0.000339,5.65e-05,0,0.000339
AR7HZLVXHNOMLP7TSISWWFNXMIMEFOA4DESVNQLATNWQTERHMNIJZI5HNE,125761.999226,0,6,125782.000226,20963.666704333333,10.0,125772.000226
AFMS7V2Y3WIRGC2WKLMYZKMRA32HACYJG22BYNWR4CAMRADLF22CZEI5FQ,122766.121955,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
AQKP7ULA5JC66JX3VWKPIIFGVPO7ZYXIV4VLUXIKZ2Q542PPUGZ75RJFDI,118380.923338,0,6,0.000339,5.65e-05,0,0.000339
ATKHXLUONBSRZBBFRKXRRWIACCSEVOYT26CWR3SSSFNAJ3RWDPMGFAU74Y,116743.733189,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AXPWSHAQTDY6LKVYOA6CBZHLAK4GPND7CG2TIVGJAFV26UFE5TOO32FWAI,115384.613227,0,6,0.000339,5.65e-05,0,0.000339
ANHSFV2QKAPEEJABFWR4LYRHCIFA2HMLVODI7DBZRV4O6KVLSJNNNCB4LI,115183.18937,0,0,0,0,0,0
AA4EDZDFKTBUEFWIMQRV33YUFVOY4O7HUSMNI7R64SOBV3RTMFM3FHHLVU,114778.777197,0,0,0,0,0,0
AV4A4A5YR73SHZVWPDTEV5B7MTKTO2DISVMGI6OO5CJYDFRSXLWZL3HVXI,114374.832373,0,16,114377.15849700001,7148.572406062501,0,114377.15849700001
ARZZJZAXXWY2RRKQ2HZFKOZFJX3CFQRUAE3WLOBO6LQLKEQPHB2ZPJ43XQ,110000.364967,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ACUOL3OIXKXI5EGH7ITV7OEWFFOOFR66PVKWLK7JOLHGORUD55UQZLFEHI,109081.404167,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
AM5TR4SOANJ53JLNZNPATDXMPURDBVZBMEJ2T4WPTVLAIVFB22TXE3WG4I,108214.592406,0,7,5689.224798,812.7463997142858,0,5689.224798
AAUXTNIA36IL2WRFCUUDKHQE5O6GRFXSAD7E2FRXEMN2YZ6LSIDHDEXXNY,106676.524187,0,32,5959.964537,186.24889178125,4663.1785,1296.786037
ALMHQ772MT77NIPG2BGRHDZXNWRXKYL2WX63KXJUOQ2TZHG5CIIUC3MUTI,106648.233657,0,0,0,0,0,0
AS63AWCMTXQSKVYSRH35IQ2RFHJO3YRVB64U7YLOBMN3B4L34OKBYTIE2A,106500.36729,0,6,0.000339,5.65e-05,0,0.000339
AMG5YTDXZJJBSV4RKYJ4IL4V7XHSH4FFKA6NK6YTPIRHUU6H4XIAO6OMNI,105680.367283,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
APXHY6QSNYFRMP3L6LXBLR2KUYCATXECFDGFNT2BHHF3WEGWF2HEI3SCGI,105655.070271,0,335,3264276.29383,9744.108339791044,1579310.6337000001,1684965.66013
ATTL66MTOHRGVG3GNOITLRGQLFCNSLSSN2EI43C77D24VJJXJFVXNHJL5U,105020.006387,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
ABAVFHUM7FMOGH4PL2XBUXJM3NNRSVNVEDK5FB74NOPSKKGOD5KJWZPSHI,104728.583585,0,40,0.115758,0.00289395,0.0,0.115758
ATAARLP2D3UJAY4EXAKHX7MF2AU4QLDL6OMUQPXPLQT4DCEOZYUSBX2EWQ,104010.001191,0,6,0.000339,5.65e-05,0,0.000339
AAOPU26SNBX4HUAFKTTQ6U25KAOI4BMK7UPMWN4MPGZVQW4OZ7JD52YHZI,103769.138349,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ASEZG5UA6U7KQLGZX5PN3T56E23TDRVEIWYJRQNLB5G7RGFDRMDTXTMYY4,102486.669822,0,5,0.00022600000000000002,4.52e-05,0.0,0.00022600000000000002
AL7SPYX6NP7DWWL5YYDKXKOIUQIPD3EHHHSV3E4LTTE72BGLIR7IXSXESY,102300.365147,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AXMUGO3RTFM27L34QL4O7WO2BIG2WRZXUBAURAW2RIZVALPJM3M4YBFYQU,102046.291227,0,6,0.000339,5.65e-05,0,0.000339
AS5FW3BUFMRRONPJZTUGVV6DQXEKBQ2KYL5KG7UH7UTXNAJ7XNJZOTE3BU,101058.426683,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
ALZNEDNBUG7EXFSAHRG65UXJONBZVL6CQ4XY7NN5Y3S332UORGJI3RM6RY,100444.155098,0,6,0.000339,5.65e-05,0,0.000339
AXUGE4PNHF77XYF4NR6GOISMSAHC5WD7B4REWTSW2WQVIUE2G2UJAU7ORU,100436.599137,0,6,0.000339,5.65e-05,0,0.000339
AAAAASVCTO6S5PAJWXAVE6D37WDBIMC54IMVSZTJXSYHXZLKH7644TKOUM,100229.925258,0,20,41317.400163,2065.87000815,37553.756391,3763.6437720000004
AWR4U72SZGE2OKZFPUCGZ2XLZXMGKTQTOHTY4QEZWAMRIPUKN6GGC242RE,100050.003233,0,6,0.000339,5.65e-05,0,0.000339
AP4PKMIOW2RK6U4DURXCPBC5AIJCY7CXDJFJOG25TQXGY7YTKJUHTXJAGA,100016.836985,0,12,150022.840352,12501.903362666666,50008.0,100014.840352
ATLI7WJTU7Q5V7NSVQM4TOPD4QWSMJUT4R4JKCHAM7DQ7LNPR5JYOVQSLY,100009.409816,0,7,400.000339,57.14290557142857,400.0,0.000339
AJV32LXXTOFTRGZCWBMOQNVFJKW5IP7LYTDEP74BDAKPESHRPCVJNOB62A,100004.364453,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
